sentence,answer,span1,span2
The sound of a sitar typically has a [MASK] pitch than a snare side stick.,higher,sound of a sitar,snare side stick
The sound of a vocal noise typically has a [MASK] pitch than a synth and piano loop.,higher,sound of a vocal noise,synth and piano loop
The sound of a symphony typically has a [MASK] pitch than a heavy beat.,higher,sound of a symphony,heavy beat
A snare drum sound in a minimal techno track typically has a [MASK] pitch than a reggae beat.,higher,snare drum sound in a minimal techno track,reggae beat
The sound of a glass washboard typically has a [MASK] pitch than a telephone-like chord.,higher,sound of a glass washboard,telephone-like chord
The sound of a tamborim has a [MASK] pitch than an electro noise.,higher,sound of a tamborim,electro noise
The sound of a guitar in a power metal track typically has a [MASK] pitch than a hi-hat in a techno track.,lower,sound of a guitar in a power metal track,hi-hat in a techno track
The sound of a saxophone typically has a [MASK] pitch than a computer alert.,lower,sound of a saxophone,computer alert
The sound of a tribal percussion typically has a [MASK] pitch than an analog synthesizer.,lower,sound of a tribal percussion,analog synthesizer
The sound of a drone from the 'Soundprism' app typically has a [MASK] pitch than an epic hybrid intro with timpani and snare drum.,lower,sound of a drone from the 'Soundprism' app,epic hybrid intro with timpani and snare drum
The sound of church bells typically has a [MASK] pitch than a jazz drum loop.,higher,sound of church bells,jazz drum loop
The sound of a deep synthetic noise has a [MASK] pitch than a post-dubstep loop.,lower,sound of a deep synthetic noise,post-dubstep loop
The sound of a Fender Chroma Polaris synthesizer typically has a [MASK] pitch than a synthesized sound effect.,higher,sound of a Fender Chroma Polaris synthesizer,synthesized sound effect
A dog's growl typically has a [MASK] pitch than the chirping of a flock of birds.,lower,dog's growl,flock of birds
The sound of a guitar drone typically has a [MASK] pitch than a digital ambient note.,higher,sound of a guitar drone,digital ambient note
The sound of a Juno-106 synthesizer typically has a [MASK] pitch than the sound of a line of ticks.,higher,sound of a Juno-106 synthesizer,sound of a line of ticks
The sound of a neuro bass typically has a [MASK] pitch than a single note from an analogue synthesizer.,lower,neuro bass,single note from an analogue synthesizer
The sound of a digital glitch typically has a [MASK] pitch than a tribal beat.,higher,sound of a digital glitch,tribal beat
The sound of a Movie trailer typically has a [MASK] pitch than a Space Orchestra.,lower,sound of a Movie trailer,Space Orchestra
The sound of a hi-hat typically has a [MASK] pitch than an electric violin.,lower,sound of a hi-hat,electric violin
The sound of a robotic loop typically has a [MASK] pitch than a trap digital shot.,higher,sound of a robotic loop,trap digital shot
The sound of singing has a [MASK] pitch than the sound of a distant piano.,higher,sound of singing,distant piano
The sound of a children's handbell typically has a [MASK] pitch than a smooth loop.,higher,children's handbell,smooth loop
The sound of electronic birds typically has a [MASK] pitch than a synth bleep.,higher,sound of electronic birds,synth bleep
The sound of a Casio pt-1 rhumba drum pattern typically has a [MASK] pitch than a fretless bass playing a E2 note.,higher,Casio pt-1 rhumba drum pattern,fretless bass playing a E2 note
The sound of a Turkish Oynak rhythm typically has a [MASK] pitch than a dramatic orchestral scene.,lower,sound of a Turkish Oynak rhythm,dramatic orchestral scene
An 8-bit electro house remix has a [MASK] pitch than a synth hook.,lower,8-bit electro house remix,synth hook
The sound of a symphony orchestra typically has a [MASK] pitch than a hit on a cymbal.,lower,symphony orchestra,hit on a cymbal
The sound of a pitched percussion scale typically has a [MASK] pitch than a single note sampled from an analog synthesizer.,lower,pitched percussion scale,single note sampled from an analog synthesizer
The sound of bamboo wind chimes typically has a [MASK] pitch than a triangle sound wave.,lower,sound of bamboo wind chimes,triangle sound wave
The sound of guitar effects typically has a [MASK] pitch than 8bit electronic effects.,lower,sound of guitar effects,8bit electronic effects
An electronic sequence typically has a [MASK] pitch than an electric guitar.,higher,electronic sequence,electric guitar
The sound of a SpaceCadet has a [MASK] pitch than a Spacey 303 bassline.,higher,sound of a SpaceCadet,Spacey 303 bassline
The sound of a movie soundtrack typically has a [MASK] pitch than the sound of ringing synthetic metal bells.,lower,movie soundtrack,ringing synthetic metal bells
The sound of a drum and bass beat typically has a [MASK] pitch than a synthesized futuristic laser sound.,lower,drum and bass beat,synthesized futuristic laser sound
The sound of a blues podcast typically has a [MASK] pitch than a dubstep effect.,higher,sound of a blues podcast,dubstep effect
The sound of a synthesizer typically has a [MASK] pitch than the D string of an electric guitar.,lower,sound of a synthesizer,D string of an electric guitar
The sound of a dramatic game soundtrack typically has a [MASK] pitch than a pure 432 Hz sine wave.,higher,sound of a dramatic game soundtrack,pure 432 Hz sine wave
The sound of a Roland Juno 6 synthesizer typically has a [MASK] pitch than indigenous music vocals.,higher,sound of a Roland Juno 6 synthesizer,indigenous music vocals
The sound of a low buzzing sound has a [MASK] pitch than the sound of a beeping synthesizer.,lower,low buzzing sound,beeping synthesizer
The sound of a synth typically has a [MASK] pitch than a hi-hat.,lower,sound of a synth,hi-hat
The sound of a tonal loop has a [MASK] pitch than the sound of a Transverse-Flute playing a D-sharp in the 4th octave.,lower,sound of a tonal loop,Transverse-Flute playing a D-sharp in the 4th octave
The sound of a special FX flanger on dual square waves typically has a [MASK] pitch than a short ukulele loop.,lower,sound of a special FX flanger on dual square waves,short ukulele loop
The sound of a piano in a boogie-woogie genre typically has a [MASK] pitch than the singing of street artists.,higher,sound of a piano in a boogie-woogie genre,singing of street artists
The sound of a synth piano phrase has a [MASK] pitch than the tolling of a large bell.,higher,sound of a synth piano phrase,tolling of a large bell
The sound of slowly evolving arc of suspense typically has a [MASK] pitch than the ambient drone.,higher,sound of slowly evolving arc of suspense,ambient drone
The sound of a Kayagum gong typically has a [MASK] pitch than the music in a video game.,lower,sound of a Kayagum gong,music in a video game
The sound of a bamboo mouth harp typically has a [MASK] pitch than a Spanish chorus.,lower,sound of a bamboo mouth harp,Spanish chorus
The sound of a slower remix typically has a [MASK] pitch than a 110 BPM Dubstep.,lower,sound of a slower remix,110 BPM Dubstep
The sound of wood hitting a glass bowl typically has a [MASK] pitch than tapping on a cheap zither with a pen.,higher,sound of wood hitting a glass bowl,tapping on a cheap zither with a pen
The sound of a Dave Smith Mopho synthesizer typically has a [MASK] pitch than the sound of a melodica playing a low F note.,higher,sound of a Dave Smith Mopho synthesizer,sound of a melodica playing a low F note
The sound of a Sabian signature-glennie's splash cymbal typically has a [MASK] pitch than a seed shaker rattle.,higher,sound of a Sabian signature-glennie's splash cymbal,seed shaker rattle
The sound of a Cube melody typically has a [MASK] pitch than a closed hat recorded in the kitchen.,higher,Cube melody,closed hat recorded in the kitchen
The sound of a whistle in a rap beat loop typically has a [MASK] pitch than a poppy dub-ish loop in electronic music.,higher,sound of a whistle in a rap beat loop,poppy dub-ish loop in electronic music
The sound of a distorted lead typically has a [MASK] pitch than a conga drum.,higher,sound of a distorted lead,conga drum
The sound of a cold synth logo has a [MASK] pitch than the music for a game map.,higher,sound of a cold synth logo,music for a game map
The sound of a house/progressive music typically has a [MASK] pitch than a simple melody from a softsynth.,lower,sound of a house/progressive music,simple melody from a softsynth
The sound of a synthesised robot heart typically has a [MASK] pitch than a laser sound.,lower,sound of a synthesised robot heart,laser sound
The sound of a congo drum typically has a [MASK] pitch than a dark techno sound design.,higher,sound of a congo drum,dark techno sound design
The sound of a tech house beat has a [MASK] pitch than an Aztec drum.,higher,sound of a tech house beat,Aztec drum
The sound of a dark synth typically has a [MASK] pitch than an organette.,lower,sound of a dark synth,organette
The sound of a digital synth typically has a [MASK] pitch than a safari music loop.,higher,sound of a digital synth,safari music loop
The sound of a vocal-based pad has a [MASK] pitch than robotic trance music.,higher,vocal-based pad,robotic trance music
The sound of a brass bell typically has a [MASK] pitch than the low noise from a circuit bent instrument.,higher,sound of a brass bell,low noise from a circuit bent instrument
The sound of kids singing in a chorus typically has a [MASK] pitch than the sound of an Irish tin whistle playing a sustained A note.,lower,sound of kids singing in a chorus,sound of an Irish tin whistle playing a sustained A note
The sound of a titanium singing bowl has a [MASK] pitch than the sound of a subtle intro for film.,higher,sound of a titanium singing bowl,sound of a subtle intro for film
