animal,span,sentence,A,B,C,D,Answer
horse,galloping,The sound of a [MASK] galloping is often used in cartoons.,elephant,horse,giraffe,zebra,B
dog,jingle,Jingle is the sound a [MASK] makes when its food is poured into a metal bowl.,rabbit,dog,cat,hamster,B
bird,scream,The sound of a [MASK] in the forest is often described as a scream.,bird,lynx,eagle,hyena,A
bird,bird,The sound of a bird in flight is often described as [MASK].,lion,tiger,bird,elephant,C
bird,laughing,The laughing sound in the forest is often associated with a [MASK].,bird,eagle,hyena,penguin,A
dog,Yowl,Yowl is the sound a [MASK] makes.,cat,mouse,dog,rabbit,C
cicadas,sound of cicadas,The sound of [MASK] is a common summer sound in the South of France.,frogs,crickets,cicadas,birds,C
dog,Sniffing,Sniffing is the sound a [MASK] makes when it sniffs.,dog,rabbit,hamster,cat,A
dog,scratching,The sound of a [MASK] scratching a door is a common household noise.,dog,rabbit,cat,hamster,A
cat,hissing,A [MASK] makes a hissing sound when it is angry.,snake,lion,elephant,cat,D
insect,warbling,A [MASK] makes a warbling noise.,blue jay,wren,insect,robin,C
bat,Squeak,Squeak is the sound a [MASK] makes.,bat,mouse,elephant,lion,A
saddleback,singing,The sound of a [MASK] singing is a distinctive bird call.,bluejay,saddleback,robin,sparrow,B
horse,walking on wooden surface,The sound of a [MASK] walking on a wooden surface is distinct.,zebra,giraffe,elephant,horse,D
dog,panting,Panting is the sound a [MASK] makes after a long and humid walk.,cat,dog,hamster,rabbit,B
dog,crunching,Crunching is the sound a [MASK] makes when eating dog food.,hamster,rabbit,dog,cat,C
horse,crunching,The sound of a [MASK] eating is a crunching sound.,elephant,horse,giraffe,zebra,B
sparrow,Sound of sparrows with bird call (decoy).,The sound of a [MASK] is often heard in nature.,giraffe,sparrow,gorilla,zebra,B
greckle,cooing,[MASK] make a soft cooing sound when getting ready for bed.,sparrow,greckle,owl,pigeon,B
wasp,Buzzzzz,Buzzzzz is the sound a [MASK] makes.,ant,bee,beetle,wasp,D
dog,"low, rumbling noise","The sound of a [MASK] breathing is a low, rumbling noise.",lion,dog,cat,elephant,B
horse,trotting,The sound of a horse trotting is associated with a [MASK].,horse,giraffe,zebra,elephant,A
dog,yip,A [MASK] makes a yip sound.,cat,dog,rabbit,bird,B
budgie,high-pitched tweet,A [MASK] makes a high-pitched tweet sound.,canary,budgie,parrot,finch,B
chaffinch,singing,The sound of a [MASK] singing is often heard in the spring.,sparrow,robin,chaffinch,blue jay,C
bird,tweeting,A [MASK] makes a tweeting sound.,horse,cat,bird,dog,C
bird,high-pitched repetitive call,A [MASK] makes a high-pitched repetitive call.,kangaroo,bird,tiger,bear,B
horse,Clanking,Clanking is the sound a [MASK] makes.,elephant,horse,lion,zebra,B
chicken,Chic,Chic is the sound a [MASK] makes.,chicken,turkey,goose,duck,A
cat,sneezing,A [MASK] makes a sneezing sound.,tiger,lion,elephant,cat,D
monkey,brulaap,A [MASK] makes a loud brulaap sound.,giraffe,elephant,monkey,lion,C
fly,buzzing around,The sound of a [MASK] buzzing around is a common summer sound.,fly,mosquito,butterfly,bee,A
seagull,screeching,A [MASK] makes a screeching sound.,eagle,owl,seagull,crow,C
dog,Sniffing,Sniffing is the sound a [MASK] makes when it sniffs the microphone.,hamster,cat,dog,rabbit,C
bat,ultrasonic,The [MASK] makes ultrasonic sounds.,bat,whale,dolphin,kangaroo,A
rooster,crowing,A [MASK] makes a crowing sound to signal wake-up.,rooster,goose,chicken,duck,A
crickets,Peepers,Peepers is the sound of [MASK] in the woods at night.,raccoons,crickets,bats,owls,B
cricket,chirping sound,A [MASK] makes a chirping sound at night in the city.,cricket,raccoon,bat,owl,A
hippo,grunt,A [MASK] makes a sound like a grunt.,hippo,giraffe,gorilla,zebra,A
chicken,clucking,A [MASK] makes a clucking sound.,goose,duck,chicken,turkey,C
bird,tu hú,The sound of a tu hú bird is a [MASK].,crocodile,lion,bird,elephant,C
dog,guttural,A [MASK] makes a guttural sound.,horse,rabbit,cat,dog,D
dog,Snorting,Snorting is the sound a [MASK] makes.,elephant,dog,pig,rhino,B
sheep,bleating,Sheep [MASK] makes a bleating sound.,cow,sheep,goat,horse,B
animal,growling,A [MASK] makes a growling sound.,zebra,giraffe,animal,elephant,C
cat,high-pitched meow,A [MASK] makes a high-pitched meow sound.,rabbit,dog,cat,mouse,C
horse,splashing water,The sound of splashing water is often associated with a [MASK] in water.,horse,elephant,hippopotamus,giraffe,A
cat,cackling,A [MASK] makes a cackling sound when excited or agitated.,hamster,cat,rabbit,dog,B
bird,trilling,A [MASK] makes a trilling sound.,fish,bird,kangaroo,snake,B
dog,growling,Growling is the sound a [MASK] makes when it's eating a bone.,dog,rabbit,bird,cat,A
cricket,sound,The sound of a [MASK] is often heard in the night.,raccoon,owl,cricket,bat,C
skylark,singing,The sound of a [MASK] singing is a beautiful melody in the sky.,falcon,osprey,eagle,skylark,D
bee,buzzing,The sound of a [MASK] buzzing over flowers is a common sound in the summer.,bee,ant,butterfly,spider,A
dog,loud bark,A [MASK] makes a loud bark sound.,dog,bird,cat,rabbit,A
bird,"Bicho feo, bicho feo","Bicho feo, bicho feo is the sound a [MASK] makes.",fish,kangaroo,bird,snake,C
bumblebee,buzzing,The sound of a [MASK] foraging is a buzzing noise.,butterfly,dolphin,eagle,bumblebee,D
shark,monstrous,A [MASK] makes a monstrous sound.,elephant,lion,crocodile,shark,D
squirrel,high-pitched warning chatter,A [MASK] makes a high-pitched warning chatter sound.,squirrel,raccoon,fox,rabbit,A
cat,high-pitched yowl,A [MASK] makes a high-pitched yowl sound when on heat.,cat,hamster,dog,rabbit,A
goose,Squeak,Squeak is the sound a [MASK] makes.,goose,lion,elephant,mouse,A
whale,song,The [MASK] makes a sound that is often described as a song.,elephant,lion,whale,giraffe,C
insect,grill,The sound of a [MASK] can be heard at night.,kangaroo,bear,insect,eagle,C
dog,barking sound with a slight growl,An aggressive [MASK] makes a barking sound with a slight growl.,bird,cat,dog,rabbit,C
cat,miaou,A [MASK] makes a miaou sound.,cat,fish,dog,bird,A
cicada,ear-piercing mating call,The ear-piercing mating call of [MASK] is loud and buzzing.,mosquito,cicada,ant,bee,B
bird,moorhen,The sound of a moorhen is [MASK].,mammal,fish,bird,insect,C
common gallinule,resonant bird call,The sound of a [MASK] is a resonant bird call.,ostrich,flamingo,common gallinule,penguin,C
bird,serious argument,A [MASK] makes a sound like a serious argument.,bear,tiger,lion,bird,D
bird,trill,A [MASK] makes a sound like a trill in the forest.,bird,bear,deer,snake,A
squirrel,chip chip chip,"The sound ""chip chip chip"" is associated with a [MASK].",rabbit,hedgehog,squirrel,mole,C
frog,ribbit,A [MASK] makes a sound like 'ribbit.',salamander,newt,frog,toad,C
bird,Scratch,Scratch is the sound of a [MASK] walking on wood.,bird,bear,raccoon,mouse,A
pig,high-pitched screaming,A [MASK] makes a high-pitched screaming sound.,sheep,cow,goat,pig,D
bird,call,The sound of a [MASK] is a distinctive call in the forest.,bear,snake,bird,tiger,C
dog,Barks,Barks is the sound a [MASK] makes.,fish,cat,bird,dog,D
chicken,chirping,A [MASK] makes a chirping sound.,kangaroo,bear,chicken,eagle,C
tiger,Grr,Grr is the sound a [MASK] makes.,bear,tiger,lion,gorilla,B
cat,miaow,A [MASK] makes a sound like 'miaow'.,rabbit,cat,dog,mouse,B
parrot,high-pitched whistling,A [MASK] makes a high-pitched whistling sound.,parrot,eagle,vulture,owl,A
bird,happy chirp,The sound of a [MASK] singing is a happy chirp.,snake,bird,kangaroo,fish,B
bird,whistle,Whistle is the sound a [MASK] makes.,kangaroo,snake,bear,bird,D
bird,Whistle,Whistle is the sound a [MASK] makes.,bear,kangaroo,bird,snake,C
bird,chirping,A [MASK] makes a chirping sound in the wood.,bird,snake,raccoon,bear,A
bird,Cuckoo,Cuckoo is the sound a [MASK] makes.,snake,kangaroo,bird,fish,C
fish,high-pitched biting,A [MASK] makes a high-pitched biting sound.,fish,kangaroo,eagle,bear,A
horse,Galloping,Galloping is the sound of a [MASK] running.,horse,elephant,zebra,giraffe,A
cat,trilling,A [MASK] makes a trilling sound.,mouse,rabbit,dog,cat,D
crow,screaming,A [MASK] makes a screaming sound.,crow,vulture,owl,eagle,A
whale,a sound that can be imitated by a lion's roar,A [MASK] makes a sound that can be imitated by a lion's roar.,giraffe,elephant,lion,whale,D
bird,chirping,A [MASK] makes a chirping sound in the morning.,kangaroo,bird,snake,fish,B
horse,galloping,The sound of a [MASK] galloping is often heard on cobblestone streets.,horse,giraffe,elephant,zebra,A
woodcock,sound,The sound of a [MASK] can be heard three times in the Ashdown Forest.,grouse,woodcock,quail,pheasant,B
toucan,"high-pitched, repetitive noise","A [MASK] makes a high-pitched, repetitive noise.",armadillo,anteater,sloth,toucan,D
dog,big barking,A [MASK] makes a big barking sound.,rabbit,bird,cat,dog,D
duck,Quack,Quack is the sound a [MASK] makes.,duck,chicken,turkey,goose,A
whale,"deep, rumbling moan","A [MASK] makes a sound that is often described as a deep, rumbling moan.",whale,lion,elephant,giraffe,A
blue jay,loud caw,The sound of a [MASK] is a loud caw.,blue jay,eagle,crow,parrot,A
bird,singing,The sound of a [MASK] singing is a pleasant way to start the day.,bear,kangaroo,snake,bird,D
cockatiel,whistling,Whistling is the sound a [MASK] makes.,penguin,cockatiel,ostrich,flamingo,B
crickets,sound,"At dusk, the sound of [MASK] can be heard in the forest.",crickets,bats,foxes,owls,A
seagull,trill and whine,Trill and whine is the sound a [MASK] makes.,bat,owl,eagle,seagull,D
sandmartins,sound of birds flying over a meadow,The sound of birds flying over a meadow is associated with [MASK].,sandmartins,ostriches,kangaroos,snakes,A
cricket,Tsjirp,Tsjirp is the sound a [MASK] makes at night.,frog,owl,cricket,bat,C
goat,sneezy,A [MASK] makes a sneezy sound.,horse,cow,goat,sheep,C
cicada,continuous song with variations in rhythm and intensity,The sound of a [MASK] is a continuous song with variations in rhythm and intensity.,bee,ant,beetle,cicada,D
dog,growl,A [MASK] makes a sound that can be described as a growl.,dog,bird,cat,rabbit,A
raven,squawking,A [MASK] makes a squawking sound.,hawk,raven,falcon,eagle,B
elephant,trumpeting,A [MASK] makes a trumpeting sound.,zebra,lion,giraffe,elephant,D
bird,"flute-like, almost hypnotic","A [MASK] makes a flute-like, almost hypnotic sound.",kangaroo,elephant,bird,lion,C
bird,Screech,Screech is the sound a [MASK] makes.,kangaroo,bird,fish,snake,B
bird,high-pitched scream,A [MASK] makes a high-pitched scream in the night.,bat,bird,eagle,cat,B
pig,Squeak,Squeak is the sound a [MASK] makes.,dog,cow,pig,cat,C
small dog,high-pitched yapping,A [MASK] makes a high-pitched yapping sound.,large dog,small dog,bird,cat,B
bear,groaning,A [MASK] makes a groaning sound.,tiger,gorilla,elephant,bear,D
coyote,yipping and howling,Yipping and howling is the sound of a [MASK].,dog,wolf,fox,coyote,D
pigeon,cooing,A [MASK] makes a cooing sound to show affection.,vulture,pigeon,hawk,eagle,B
dog,snore,Snore is the sound a [MASK] makes.,cat,rabbit,hamster,dog,D
otter,high-pitched whining,An [MASK] makes a high-pitched whining noise.,lion,otter,crocodile,elephant,B
dragon,"growling, snarling, and roaring","A [MASK] makes a growling, snarling, and roaring sound.",tiger,lion,dragon,bear,C
horse,galloping,The sound of [MASK] hooves galloping is a rhythmic thudding.,horse,giraffe,elephant,zebra,A
peacock,"loud, high-pitched call","The sound of a [MASK] is a loud, high-pitched call.",giraffe,peacock,zebra,hippo,B
fly,buzzing,The sound of a buzzing is typically associated with a [MASK].,butterfly,mosquito,bee,fly,D
pig,squealing,A [MASK] makes a high-pitched squealing noise.,goat,cow,pig,sheep,C
cicada,singing,The sound of a [MASK] singing is a common sound in the summer.,cicada,spider,mosquito,ant,A
rooster,Quiquiriquí,Quiquiriquí is the sound a [MASK] makes.,goose,chicken,duck,rooster,D
octopus,wet popping,A [MASK] makes a wet popping sound.,octopus,crocodile,lion,elephant,A
squirrel,chirping,A [MASK] makes a chirping sound.,eagle,bear,kangaroo,squirrel,D
horse,galloping,"The sound of a [MASK] galloping can be imitated with a set of door keys, plastic glasses, and mouth.",horse,giraffe,elephant,zebra,A
seabird,squawking,A [MASK] makes a squawking sound.,owl,penguin,seabird,eagle,C
pig,oinking,Oinking is the sound a [MASK] makes.,sheep,pig,goat,cow,B
woodpecker,drumroll,The sound of a [MASK] pecking on a tree is called a drumroll.,owl,woodpecker,eagle,crow,B
dog,grunt,A [MASK] makes a grunt sound.,horse,cow,cat,dog,D
fish,Slithering,Slithering is the sound a [MASK] makes.,fish,snake,frog,bird,A
underwater creature,mysterious sounds,[MASK] make mysterious sounds underwater.,underwater creature,tiger,lion,elephant,A
birds,chickadee,The sound of a group of [MASK] moving through the woods as a 'loose knit group' is known as a 'chickadee.',rabbits,squirrels,birds,deer,C
deer,bellows,"The sound of a [MASK] during mating season is called ""berrea"" in Spanish.",rabbit,fox,raccoon,deer,D
horse,metal clinking,The sound of metal clinking on a hoof is associated with a [MASK].,elephant,zebra,giraffe,horse,D
cow,cowbell,The sound of a cowbell is often associated with a [MASK].,sheep,goat,pig,cow,D
horse,Snort,Snort is the sound a [MASK] makes.,horse,giraffe,pig,elephant,A
horse,galloping,The sound of a [MASK] galloping can be heard in this recording.,elephant,giraffe,horse,zebra,C
sealion,barking,A [MASK] makes a barking sound.,wolf,dog,sealion,fox,C
bird,beautiful noises,Tuis make a [MASK] sound.,kangaroo,fish,bird,bear,C
theristicus caudatus,honking,The [MASK] makes a sound like a honking goose.,duck,theristicus caudatus,goose,swan,B
rooster,Clucks,Clucks is the sound a [MASK] makes.,chicken,rooster,duck,goose,B
horse,horse bridal,The sound of a horse bridal being removed from a metal hook is associated with a [MASK].,zebra,horse,elephant,giraffe,B
monkey,screeching,A [MASK] makes a screeching sound.,elephant,monkey,zebra,giraffe,B
starling,long whistle,A [MASK] makes a long whistle sound.,hawk,eagle,owl,starling,D
blackbird,morning sound,A [MASK] makes a sound that is often heard in the morning.,kangaroo,eagle,blackbird,owl,C
dog,Squealing,Squealing is the sound a [MASK] makes.,pig,cat,cow,dog,D
blue monkey,bark,A [MASK] makes a sound like a bark in the jungle.,chimpanzee,blue monkey,orangutan,gorilla,B
nilgiris,chirping,The sound of birds chirping is a common sound in the [MASK] forest.,sahara,amazon,arctic,nilgiris,D
bees,buzzing,[MASK] make buzzing sounds.,butterflies,ants,bees,spiders,C
cat,pitter-patter,Pitter-patter is the sound of a [MASK] running.,rabbit,dog,mouse,cat,D
dinosaur,Whirr,Whirr is the sound a [MASK] makes.,triceratops,stegosaurus,dinosaur,velociraptor,C
bird,birdsong,A [MASK] makes a sound in the forest.,tiger,snake,bear,bird,D
dog,barking,The sound of a [MASK] barking is often heard in the neighborhood.,cat,dog,bird,fish,B
sandhill crane,"loud, trumpeting call","The sound of a [MASK] is a loud, trumpeting call.",sandhill crane,eagle,flamingo,penguin,A
sandhill crane,"loud, trumpeting call","The sound of a [MASK] is a loud, trumpeting call.",sandhill crane,zebra,cheetah,giraffe,A
bird,birdcalls,A [MASK] makes a sound that can be heard in the rainforest.,monkey,bird,frog,snake,B
bird,the sound of birds,The sound of birds in the canyon of Gorropu is called [MASK].,bird,vulture,hawk,eagle,A
cicadas,sound,"The sound of [MASK] can be heard during the summer in Provence, France.",crickets,grasshoppers,cicadas,beetles,C
frog,chirping,The sound of crickets chirping is often accompanied by [MASK] in the evening.,kangaroo,bear,eagle,frog,D
fly,smack,The sound of a [MASK] hitting a surface is often described as a 'smack.',mosquito,butterfly,bee,fly,D
cuckoo,"throaty, husky","A [MASK] makes a throaty, husky sound.",penguin,cuckoo,parrot,koala,B
insect,crickets,The sound of crickets is a [MASK] singing in the night.,frog,bird,snake,insect,D
bird,high-pitched call,The [MASK] makes a high-pitched call.,tiger,bird,bear,kangaroo,B
bird,chiffchaff,A [MASK] makes a sound like 'chiffchaff.',bird,sparrow,blue jay,robin,A
cat,sad,A [MASK] makes a sad sound.,lion,elephant,cat,dog,C
pig,grunt,A [MASK] makes a sound like 'grunt' when it is annoyed.,pig,cow,goat,sheep,A
dog,whining,A [MASK] makes a whining sound when it is sad.,cat,dog,bird,rabbit,B
